gene_name,control_females_max_transcript_counts,control_males_max_transcript_counts,difference
LOC111103517,5,6,-1
LOC111103518,3,2,1
LOC111103519,3,1,2
LOC111103533,0,1,-1
LOC111103550,2,1,1
LOC111103553,1,2,-1
LOC111103560,3,4,-1
LOC111103566,1,0,1
LOC111103570,3,2,1
LOC111103574,3,2,1
LOC111103578,3,1,2
LOC111103581,3,2,1
LOC111103585,1,2,-1
LOC111103587,4,3,1
LOC111103589,4,3,1
LOC111103591,1,2,-1
LOC111103594,3,2,1
LOC111103596,7,5,2
LOC111103605,8,7,1
LOC111103631,1,0,1
LOC111103635,3,2,1
LOC111103646,7,2,5
LOC111103651,1,2,-1
LOC111103655,4,2,2
LOC111103658,5,4,1
LOC111103660,2,1,1
LOC111103664,4,1,3
LOC111103674,1,0,1
LOC111103676,7,6,1
LOC111103678,0,1,-1
LOC111103680,4,3,1
LOC111103684,3,1,2
LOC111103686,0,1,-1
LOC111103692,4,3,1
LOC111103697,2,1,1
LOC111103700,5,4,1
LOC111103737,0,1,-1
LOC111103744,7,4,3
LOC111103746,0,1,-1
LOC111103747,0,1,-1
LOC111103755,1,2,-1
LOC111103769,0,1,-1
LOC111103778,4,3,1
LOC111103792,4,3,1
LOC111103798,2,1,1
LOC111103804,5,3,2
LOC111103805,5,4,1
LOC111103809,8,5,3
LOC111103811,3,2,1
LOC111103814,9,7,2
LOC111103819,6,5,1
LOC111103821,3,2,1
LOC111103824,11,5,6
LOC111103827,3,2,1
LOC111103829,3,2,1
LOC111103842,1,2,-1
LOC111103846,5,4,1
LOC111103858,3,2,1
LOC111103860,2,1,1
LOC111103863,1,2,-1
LOC111103868,6,5,1
LOC111103869,12,11,1
LOC111103871,2,1,1
LOC111103892,2,1,1
LOC111103901,7,3,4
LOC111103904,3,2,1
LOC111103906,2,1,1
LOC111103907,6,5,1
LOC111103912,3,2,1
LOC111103928,2,1,1
LOC111103930,5,6,-1
LOC111103932,1,0,1
LOC111103948,3,2,1
LOC111103950,1,2,-1
LOC111103951,0,1,-1
LOC111103952,2,3,-1
