gene_name,female_max_transcript_counts,male_max_transcript_counts,difference
LOC111104721,3,2,1
LOC111104727,0,1,-1
LOC111104731,0,1,-1
LOC111104733,0,1,-1
LOC111104738,2,1,1
LOC111104739,2,0,2
LOC111104744,2,1,1
LOC111104747,2,1,1
LOC111104752,5,4,1
LOC111104754,2,1,1
LOC111104757,2,1,1
LOC111104761,1,2,-1
LOC111104764,1,2,-1
LOC111104769,5,4,1
LOC111104773,2,3,-1
LOC111104776,2,3,-1
LOC111104777,2,3,-1
LOC111104786,1,2,-1
LOC111104807,2,1,1
LOC111104820,1,2,-1
LOC111104823,1,2,-1
LOC111104825,3,4,-1
LOC111104828,1,2,-1
LOC111104834,5,4,1
LOC111104835,25,13,12
LOC111104839,4,3,1
LOC111104840,4,3,1
LOC111104841,2,3,-1
LOC111104855,1,0,1
LOC111104859,1,2,-1
LOC111104868,1,0,1
LOC111104885,0,1,-1
LOC111104910,0,1,-1
LOC111104915,0,1,-1
LOC111104940,0,1,-1
LOC111104945,0,1,-1
LOC111104957,0,1,-1
LOC111104961,0,1,-1
LOC111104963,0,1,-1
LOC111104975,1,0,1
LOC111104999,0,1,-1
LOC111105002,0,1,-1
LOC111105004,0,1,-1
LOC111105005,0,1,-1
LOC111105009,0,1,-1
LOC111105035,3,2,1
LOC111105071,0,1,-1
LOC111105090,1,0,1
LOC111105233,3,2,1
LOC111105237,2,3,-1
LOC111105238,1,2,-1
LOC111105239,1,2,-1
LOC111105249,3,2,1
LOC111105257,2,1,1
LOC111105259,2,1,1
LOC111105271,1,0,1
LOC111105272,3,1,2
LOC111105273,5,4,1
LOC111105276,4,2,2
LOC111105285,1,2,-1
LOC111105288,0,1,-1
LOC111105291,1,2,-1
LOC111105295,3,2,1
LOC111105296,2,1,1
LOC111105304,2,5,-3
LOC111105312,6,7,-1
LOC111105319,1,2,-1
LOC111105333,5,7,-2
LOC111105362,1,2,-1
LOC111105363,3,2,1
LOC111105366,15,17,-2
LOC111105376,3,4,-1
LOC111105379,3,2,1
LOC111105382,5,2,3
LOC111105404,3,1,2
LOC111105409,2,1,1
LOC111105418,1,2,-1
LOC111105420,1,2,-1
LOC111105431,0,1,-1
LOC111105434,5,3,2
LOC111105435,1,2,-1
LOC111105453,3,4,-1
LOC111105454,1,2,-1
LOC111105478,3,2,1
LOC111105479,1,2,-1
LOC111105480,9,3,6
LOC111105482,1,2,-1
LOC111105489,1,2,-1
LOC111105494,4,2,2
LOC111105501,2,3,-1
LOC111105503,2,1,1
LOC111105509,7,5,2
LOC111105511,3,4,-1
LOC111105522,2,1,1
LOC111105534,0,1,-1
LOC111105545,2,3,-1
LOC111105547,2,1,1
LOC111105552,4,3,1
LOC111105577,0,1,-1
LOC111105593,2,1,1
LOC111105619,4,3,1
LOC111105624,2,1,1
LOC111105631,0,1,-1
LOC111105634,1,2,-1
LOC111105659,2,1,1
LOC111105679,1,2,-1
LOC111105680,0,1,-1
LOC111105684,6,5,1
LOC111105713,5,4,1
LOC111105716,17,9,8
LOC111105732,1,2,-1
LOC111105746,1,2,-1
LOC111105754,4,3,1
LOC111105770,1,2,-1
LOC111105785,0,1,-1
LOC111105795,3,2,1
LOC111105804,1,2,-1
