gene_name,transcript_counts.S12M,transcript_counts.S23M,transcript_counts.S31M,transcript_counts.S48M,transcript_counts.S59M,transcript_counts.S9M,exposed_males_sum_transcript_counts,exposed_males_median_transcript_counts,exposed_males_mean_transcript_counts,exposed_males_max_transcript_counts,exposed_males_min_transcript_counts,exposed_males_std_dev_transcript_counts
LOC111099425,0,0,0,0,0,0,0,0,0,0,0,0
LOC111099426,2,2,1,2,3,1,11,2,1.83333333333333,3,1,0.752772652709081
LOC111099427,1,1,1,1,2,1,7,1,1.16666666666667,2,1,0.408248290463863
LOC111099428,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099429,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099430,1,1,0,2,0,1,5,1,0.833333333333333,2,0,0.752772652709081
LOC111099431,0,0,0,0,0,0,0,0,0,0,0,0
LOC111099432,0,1,1,1,1,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099433,1,0,1,1,1,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099434,1,1,0,1,1,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099435,0,0,0,0,0,1,1,0,0.166666666666667,1,0,0.408248290463863
LOC111099436,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099437,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099438,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099439,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099440,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099441,0,0,0,0,0,1,1,0,0.166666666666667,1,0,0.408248290463863
LOC111099442,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099443,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099444,1,1,0,1,1,0,4,1,0.666666666666667,1,0,0.516397779494322
LOC111099445,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099446,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099447,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099448,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099449,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099450,3,2,1,2,2,2,12,2,2,3,1,0.632455532033676
