gene_name,controls_max_transcript_counts,exposed_max_transcript_counts,difference
LOC111103482,4,3,1
LOC111103485,4,5,-1
LOC111103505,1,2,-1
LOC111103511,4,3,1
LOC111103517,6,5,1
LOC111103536,0,1,-1
LOC111103553,2,3,-1
LOC111103560,4,5,-1
LOC111103565,1,3,-2
LOC111103574,3,2,1
LOC111103578,3,2,1
LOC111103585,2,1,1
LOC111103589,4,6,-2
LOC111103631,1,3,-2
LOC111103635,3,4,-1
LOC111103646,7,6,1
LOC111103649,2,3,-1
LOC111103660,2,1,1
LOC111103677,1,2,-1
LOC111103680,4,3,1
LOC111103684,3,2,1
LOC111103700,5,4,1
LOC111103744,7,9,-2
LOC111103753,0,1,-1
LOC111103782,1,2,-1
LOC111103790,1,2,-1
LOC111103814,9,8,1
LOC111103819,6,5,1
LOC111103825,3,4,-1
LOC111103832,1,2,-1
LOC111103846,5,4,1
LOC111103847,4,5,-1
LOC111103860,2,1,1
LOC111103868,6,4,2
LOC111103877,4,3,1
LOC111103892,2,1,1
LOC111103896,5,6,-1
LOC111103901,7,9,-2
LOC111103929,1,2,-1
LOC111103930,6,7,-1
LOC111103949,1,2,-1
LOC111103965,4,5,-1
LOC111103967,4,5,-1
LOC111103982,2,3,-1
LOC111103994,5,4,1
LOC111104008,8,6,2
LOC111104041,1,2,-1
LOC111104042,2,1,1
LOC111104050,2,1,1
LOC111104053,2,3,-1
LOC111104055,4,5,-1
LOC111104061,3,4,-1
LOC111104072,1,2,-1
LOC111104078,1,2,-1
LOC111104108,2,3,-1
LOC111104112,7,8,-1
LOC111104116,3,4,-1
LOC111104124,3,5,-2
LOC111104159,3,4,-1
LOC111104190,13,10,3
LOC111104193,5,4,1
LOC111104223,3,2,1
LOC111104227,1,2,-1
LOC111104228,4,5,-1
LOC111104234,2,1,1
LOC111104238,1,2,-1
LOC111104249,2,3,-1
LOC111104255,0,1,-1
LOC111104269,9,11,-2
LOC111104281,1,2,-1
LOC111104304,0,2,-2
LOC111104311,3,2,1
LOC111104316,4,3,1
LOC111104321,2,1,1
LOC111104340,1,2,-1
LOC111104346,3,2,1
LOC111104349,5,4,1
LOC111104373,1,3,-2
LOC111104382,9,6,3
LOC111104401,10,9,1
LOC111104417,3,2,1
LOC111104431,3,4,-1
LOC111104432,9,8,1
LOC111104448,2,1,1
LOC111104452,2,1,1
LOC111104453,5,3,2
LOC111104485,1,2,-1
LOC111104491,1,2,-1
LOC111104497,4,3,1
LOC111104515,5,4,1
LOC111104526,5,4,1
LOC111104529,3,2,1
LOC111104540,3,2,1
LOC111104545,2,3,-1
LOC111104558,1,2,-1
LOC111104560,1,2,-1
LOC111104562,0,1,-1
LOC111104568,2,1,1
LOC111104598,3,1,2
LOC111104602,2,1,1
LOC111104629,25,23,2
LOC111104648,3,2,1
LOC111104662,2,1,1
LOC111104666,2,1,1
LOC111104674,1,3,-2
LOC111104689,4,5,-1
LOC111104704,1,2,-1
LOC111104709,3,2,1
LOC111104710,1,2,-1
LOC111104711,6,3,3
LOC111104727,0,1,-1
LOC111104731,0,1,-1
LOC111104733,0,1,-1
LOC111104737,2,1,1
LOC111104738,2,1,1
LOC111104739,0,2,-2
LOC111104744,2,1,1
LOC111104757,1,2,-1
LOC111104761,1,2,-1
LOC111104773,2,3,-1
LOC111104777,3,2,1
LOC111104786,2,1,1
LOC111104807,1,2,-1
LOC111104820,2,1,1
LOC111104823,2,1,1
LOC111104825,4,3,1
LOC111104834,5,4,1
LOC111104835,25,24,1
LOC111104839,3,4,-1
LOC111104840,2,4,-2
LOC111104841,2,3,-1
LOC111104855,0,1,-1
LOC111104859,1,2,-1
LOC111104885,0,1,-1
LOC111104902,1,2,-1
LOC111104923,1,0,1
LOC111104940,0,1,-1
LOC111104945,0,1,-1
LOC111104975,1,0,1
LOC111104999,1,0,1
LOC111105001,0,1,-1
LOC111105004,0,1,-1
LOC111105005,0,1,-1
LOC111105007,0,1,-1
LOC111105195,0,1,-1
LOC111105237,2,3,-1
LOC111105238,2,1,1
LOC111105249,3,2,1
LOC111105257,1,2,-1
LOC111105259,2,1,1
LOC111105273,5,4,1
LOC111105274,3,2,1
LOC111105276,3,4,-1
LOC111105285,1,2,-1
LOC111105290,0,1,-1
LOC111105304,5,2,3
LOC111105312,6,7,-1
LOC111105319,1,2,-1
LOC111105333,7,6,1
LOC111105366,15,17,-2
LOC111105376,3,4,-1
LOC111105378,2,1,1
LOC111105382,4,5,-1
LOC111105397,2,1,1
LOC111105404,3,1,2
LOC111105409,2,1,1
LOC111105420,1,2,-1
