gene_name,control_females_max_transcript_counts,exposed_females_max_transcript_counts,difference
LOC111103042,0,1,-1
LOC111103058,2,1,1
LOC111103075,4,2,2
LOC111103078,0,1,-1
LOC111103085,0,1,-1
LOC111103089,1,0,1
LOC111103092,1,3,-2
LOC111103095,4,6,-2
LOC111103100,1,0,1
LOC111103101,1,0,1
LOC111103102,1,0,1
LOC111103112,1,2,-1
LOC111103119,1,2,-1
LOC111103122,0,1,-1
LOC111103125,1,0,1
LOC111103131,2,1,1
LOC111103134,0,1,-1
LOC111103147,1,0,1
LOC111103148,4,3,1
LOC111103161,1,0,1
LOC111103174,2,1,1
LOC111103175,3,2,1
LOC111103176,5,2,3
LOC111103183,1,0,1
LOC111103187,1,0,1
LOC111103214,2,3,-1
LOC111103219,0,1,-1
LOC111103222,1,0,1
LOC111103236,2,3,-1
LOC111103243,0,1,-1
LOC111103244,15,14,1
LOC111103253,3,2,1
LOC111103258,0,1,-1
LOC111103263,2,1,1
LOC111103280,0,1,-1
LOC111103282,0,1,-1
LOC111103287,15,16,-1
LOC111103297,3,4,-1
LOC111103298,2,1,1
LOC111103301,0,1,-1
LOC111103308,1,0,1
LOC111103323,6,5,1
LOC111103328,1,2,-1
LOC111103336,1,0,1
LOC111103337,4,5,-1
LOC111103341,0,1,-1
LOC111103345,18,16,2
LOC111103356,7,6,1
LOC111103365,1,0,1
LOC111103370,6,5,1
LOC111103375,9,6,3
LOC111103381,4,3,1
LOC111103393,9,6,3
LOC111103396,10,9,1
LOC111103401,3,2,1
LOC111103413,0,1,-1
LOC111103417,3,1,2
LOC111103425,0,1,-1
LOC111103432,0,1,-1
LOC111103441,5,6,-1
LOC111103443,4,6,-2
LOC111103446,1,0,1
LOC111103454,0,1,-1
LOC111103458,0,1,-1
LOC111103462,0,1,-1
LOC111103465,5,4,1
LOC111103478,1,0,1
LOC111103482,4,3,1
LOC111103483,0,1,-1
LOC111103488,1,0,1
LOC111103506,1,0,1
LOC111103511,4,2,2
LOC111103533,0,1,-1
LOC111103536,0,1,-1
LOC111103537,1,0,1
LOC111103550,2,1,1
LOC111103551,1,0,1
LOC111103553,1,2,-1
LOC111103560,3,4,-1
LOC111103565,1,3,-2
LOC111103570,3,2,1
LOC111103574,3,2,1
LOC111103576,1,0,1
LOC111103578,3,2,1
LOC111103587,4,3,1
LOC111103589,4,6,-2
LOC111103631,1,3,-2
LOC111103635,3,4,-1
LOC111103639,1,0,1
LOC111103646,7,6,1
LOC111103649,2,3,-1
LOC111103658,5,3,2
LOC111103660,2,1,1
LOC111103670,1,0,1
LOC111103677,1,2,-1
LOC111103679,1,0,1
LOC111103680,4,3,1
LOC111103684,3,2,1
LOC111103686,0,1,-1
LOC111103700,5,4,1
LOC111103720,1,0,1
LOC111103724,1,0,1
LOC111103725,1,0,1
LOC111103744,7,9,-2
LOC111103746,0,1,-1
LOC111103747,0,1,-1
LOC111103753,0,1,-1
LOC111103759,3,2,1
LOC111103769,0,1,-1
LOC111103795,2,1,1
LOC111103802,2,1,1
LOC111103814,9,8,1
LOC111103819,6,5,1
LOC111103825,3,4,-1
LOC111103832,1,2,-1
LOC111103842,1,2,-1
LOC111103846,5,4,1
LOC111103847,4,5,-1
LOC111103860,2,1,1
LOC111103868,6,4,2
LOC111103877,4,3,1
LOC111103892,2,1,1
LOC111103896,5,6,-1
LOC111103901,7,9,-2
LOC111103928,2,1,1
LOC111103930,5,4,1
LOC111103932,1,0,1
LOC111103936,3,2,1
LOC111103950,1,2,-1
LOC111103951,0,1,-1
LOC111103952,2,3,-1
LOC111103967,3,2,1
LOC111103982,2,3,-1
LOC111103994,5,4,1
LOC111104008,8,5,3
LOC111104030,1,2,-1
LOC111104036,1,0,1
LOC111104041,1,2,-1
LOC111104042,2,1,1
LOC111104053,2,1,1
LOC111104055,4,5,-1
LOC111104061,3,4,-1
LOC111104077,2,1,1
LOC111104078,1,2,-1
LOC111104108,2,3,-1
LOC111104110,2,1,1
LOC111104112,7,8,-1
LOC111104116,3,4,-1
LOC111104117,3,2,1
LOC111104124,3,5,-2
LOC111104159,3,4,-1
LOC111104190,13,10,3
LOC111104193,5,4,1
LOC111104198,3,4,-1
LOC111104211,2,3,-1
LOC111104214,1,0,1
LOC111104216,0,1,-1
LOC111104223,3,2,1
LOC111104230,2,1,1
LOC111104234,2,1,1
LOC111104243,2,1,1
LOC111104249,2,1,1
LOC111104251,1,2,-1
LOC111104269,9,11,-2
LOC111104304,0,2,-2
LOC111104311,3,2,1
LOC111104316,4,3,1
LOC111104325,1,2,-1
LOC111104336,0,1,-1
LOC111104339,0,1,-1
LOC111104340,1,2,-1
LOC111104346,3,1,2
LOC111104349,5,4,1
LOC111104364,1,2,-1
LOC111104373,1,3,-2
LOC111104382,9,6,3
LOC111104386,4,3,1
LOC111104399,2,1,1
LOC111104401,10,9,1
LOC111104411,2,1,1
LOC111104414,2,1,1
LOC111104422,1,2,-1
LOC111104430,2,3,-1
LOC111104432,9,7,2
LOC111104448,2,1,1
LOC111104452,2,1,1
LOC111104453,5,3,2
LOC111104468,1,0,1
LOC111104476,1,0,1
LOC111104497,4,3,1
