gene_name,exposed_females_max_transcript_counts,exposed_males_max_transcript_counts,difference
LOC111103744,9,5,4
LOC111103753,1,0,1
LOC111103755,1,2,-1
LOC111103759,2,3,-1
LOC111103778,4,3,1
LOC111103782,1,2,-1
LOC111103790,1,2,-1
LOC111103792,4,3,1
LOC111103795,1,2,-1
LOC111103802,1,2,-1
LOC111103804,5,4,1
LOC111103805,5,4,1
LOC111103809,8,7,1
LOC111103811,3,2,1
LOC111103814,8,5,3
LOC111103819,5,4,1
LOC111103821,3,1,2
LOC111103846,4,3,1
LOC111103847,5,4,1
LOC111103854,1,0,1
LOC111103858,3,2,1
LOC111103863,1,2,-1
LOC111103869,12,11,1
LOC111103871,2,1,1
LOC111103896,6,4,2
LOC111103901,9,5,4
LOC111103906,2,1,1
LOC111103907,6,5,1
LOC111103912,3,2,1
LOC111103928,1,2,-1
LOC111103929,1,2,-1
LOC111103930,4,7,-3
LOC111103932,0,1,-1
LOC111103936,2,3,-1
LOC111103949,1,2,-1
LOC111103954,2,1,1
LOC111103956,3,2,1
LOC111103964,2,1,1
LOC111103965,4,5,-1
LOC111103967,2,5,-3
LOC111103979,2,1,1
LOC111103982,3,2,1
LOC111103994,4,3,1
LOC111103996,6,4,2
LOC111104008,5,6,-1
LOC111104011,1,3,-2
LOC111104015,2,1,1
LOC111104023,3,2,1
LOC111104030,2,1,1
LOC111104036,0,1,-1
LOC111104041,2,1,1
LOC111104048,1,2,-1
LOC111104053,1,3,-2
LOC111104055,5,3,2
LOC111104056,1,2,-1
LOC111104061,4,2,2
LOC111104063,12,7,5
LOC111104072,1,2,-1
LOC111104077,1,2,-1
LOC111104082,2,1,1
LOC111104084,8,5,3
LOC111104098,6,4,2
LOC111104103,2,1,1
LOC111104110,1,3,-2
LOC111104117,2,3,-1
LOC111104124,5,3,2
LOC111104129,2,1,1
LOC111104135,4,3,1
LOC111104158,2,1,1
LOC111104159,4,3,1
LOC111104169,4,3,1
LOC111104175,2,1,1
LOC111104180,6,5,1
LOC111104190,10,9,1
LOC111104196,4,3,1
LOC111104211,3,2,1
LOC111104214,0,1,-1
LOC111104227,1,2,-1
LOC111104228,3,5,-2
LOC111104230,1,2,-1
LOC111104238,1,2,-1
LOC111104243,1,2,-1
LOC111104249,1,3,-2
LOC111104252,3,2,1
LOC111104255,0,1,-1
LOC111104269,11,6,5
LOC111104281,1,2,-1
LOC111104304,2,1,1
LOC111104313,3,2,1
LOC111104315,4,3,1
LOC111104316,3,2,1
LOC111104325,2,1,1
LOC111104330,4,3,1
LOC111104340,2,1,1
LOC111104346,1,2,-1
LOC111104349,4,2,2
LOC111104354,3,1,2
LOC111104356,2,1,1
LOC111104367,2,1,1
LOC111104373,3,1,2
LOC111104379,0,1,-1
LOC111104382,6,4,2
LOC111104386,3,4,-1
LOC111104392,3,2,1
LOC111104395,2,1,1
LOC111104399,1,2,-1
LOC111104401,9,7,2
LOC111104411,1,2,-1
LOC111104414,1,2,-1
LOC111104417,1,2,-1
LOC111104421,3,1,2
LOC111104422,2,1,1
LOC111104431,3,4,-1
LOC111104432,7,8,-1
LOC111104433,3,2,1
LOC111104437,2,1,1
LOC111104447,2,1,1
LOC111104451,5,4,1
LOC111104453,3,2,1
LOC111104461,2,1,1
LOC111104464,4,3,1
LOC111104468,0,1,-1
LOC111104474,3,2,1
LOC111104476,0,1,-1
LOC111104485,1,2,-1
LOC111104488,1,4,-3
LOC111104489,2,1,1
LOC111104491,1,2,-1
LOC111104497,3,1,2
LOC111104507,2,1,1
LOC111104508,1,2,-1
LOC111104515,4,3,1
LOC111104518,6,5,1
LOC111104520,1,2,-1
LOC111104539,1,2,-1
LOC111104540,2,1,1
LOC111104544,2,1,1
LOC111104545,3,2,1
LOC111104558,1,2,-1
LOC111104560,2,1,1
LOC111104572,1,2,-1
LOC111104582,0,1,-1
LOC111104583,0,1,-1
LOC111104603,2,1,1
LOC111104605,0,1,-1
LOC111104612,0,1,-1
LOC111104621,1,2,-1
LOC111104622,0,1,-1
LOC111104625,3,4,-1
LOC111104626,1,2,-1
LOC111104627,1,2,-1
LOC111104628,1,2,-1
LOC111104629,18,23,-5
LOC111104631,1,2,-1
LOC111104637,2,1,1
LOC111104648,1,2,-1
LOC111104653,2,1,1
LOC111104660,1,2,-1
