"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold2","fold3","fold4","fold5","fold6"
"6578","LOC111112828",91,94.5,165,164,162,251,1.03846153846154,1.81318681318681,1.8021978021978,1.78021978021978,2.75824175824176
"6579","LOC111112835",33,33,35,NA,NA,NA,1,1.06060606060606,NA,NA,NA
"6580","LOC111112836",98,11,17.5,8,1,44.5,0.112244897959184,0.178571428571429,0.0816326530612245,0.0102040816326531,0.454081632653061
"6581","LOC111112839",210.666666666667,216,299,NA,NA,NA,1.0253164556962,1.41930379746835,NA,NA,NA
"6582","LOC111112841",193,132.666666666667,133,97,70,96,0.687392055267703,0.689119170984456,0.50259067357513,0.362694300518135,0.49740932642487
"6583","LOC111112842",30,64,NA,NA,NA,NA,2.13333333333333,NA,NA,NA,NA
"6584","LOC111112843",29,35,41,32,21,30,1.20689655172414,1.41379310344828,1.10344827586207,0.724137931034483,1.03448275862069
"6585","LOC111112844",121.5,119,433,119,212,367,0.979423868312757,3.56378600823045,0.979423868312757,1.74485596707819,3.02057613168724
"6586","LOC111112845",259,221,91,4656,1649,2978,0.853281853281853,0.351351351351351,17.976833976834,6.36679536679537,11.4980694980695
"6587","LOC111112846",158,518.6,753.2,407.2,429.8,474.6,3.28227848101266,4.76708860759494,2.57721518987342,2.72025316455696,3.00379746835443
"6588","LOC111112848",156.5,116,143,182,NA,NA,0.741214057507987,0.913738019169329,1.1629392971246,NA,NA
"6589","LOC111112853",53,20,53,30,11,NA,0.377358490566038,1,0.566037735849057,0.207547169811321,NA
"6590","LOC111112855",31,10,7,5,5,16,0.32258064516129,0.225806451612903,0.161290322580645,0.161290322580645,0.516129032258065
"6591","LOC111112860",12,47,13,7,46,NA,3.91666666666667,1.08333333333333,0.583333333333333,3.83333333333333,NA
"6592","LOC111112861",21,4,7,0,NA,NA,0.19047619047619,0.333333333333333,0,NA,NA
"6593","LOC111112862",196,2316,354,567,406,414,11.8163265306122,1.80612244897959,2.89285714285714,2.07142857142857,2.11224489795918
"6594","LOC111112863",69,47,12,1,16,43,0.681159420289855,0.173913043478261,0.0144927536231884,0.231884057971014,0.623188405797101
"6595","LOC111112864",29,26,38,246,227,233,0.896551724137931,1.31034482758621,8.48275862068965,7.82758620689655,8.03448275862069
"6596","LOC111112865",63,230,150,341,NA,NA,3.65079365079365,2.38095238095238,5.41269841269841,NA,NA
"6597","LOC111112866",82,262,226,55,101,128,3.19512195121951,2.75609756097561,0.670731707317073,1.23170731707317,1.5609756097561
"6598","LOC111112867",52,63,NA,NA,NA,NA,1.21153846153846,NA,NA,NA,NA
"6599","LOC111112868",47,67,49,NA,NA,NA,1.42553191489362,1.04255319148936,NA,NA,NA
"6600","LOC111112869",66,88,57,NA,NA,NA,1.33333333333333,0.863636363636364,NA,NA,NA
"6601","LOC111112873",8,21,110,NA,NA,NA,2.625,13.75,NA,NA,NA
"6602","LOC111112874",54,56,85,30,49,51,1.03703703703704,1.57407407407407,0.555555555555556,0.907407407407407,0.944444444444444
"6603","LOC111112875",26,144,56,40,133,NA,5.53846153846154,2.15384615384615,1.53846153846154,5.11538461538461,NA
"6604","LOC111112876",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6605","LOC111112878",68.5,59.75,74.75,64.3333333333333,79.5,82,0.872262773722628,1.09124087591241,0.939172749391727,1.16058394160584,1.1970802919708
"6606","LOC111112879",65.3333333333333,40.3333333333333,103,42.6666666666667,90,170.333333333333,0.61734693877551,1.5765306122449,0.653061224489796,1.37755102040816,2.60714285714286
"6607","LOC111112880",718,764,352,349,589,302,1.06406685236769,0.49025069637883,0.486072423398329,0.82033426183844,0.420612813370474
"6608","LOC111112881",230,265,350,895,NA,NA,1.15217391304348,1.52173913043478,3.89130434782609,NA,NA
"6609","LOC111112882",169,156,258,NA,NA,NA,0.923076923076923,1.52662721893491,NA,NA,NA
"6610","LOC111112883",4.4,10,12,7.2,7,3.2,2.27272727272727,2.72727272727273,1.63636363636364,1.59090909090909,0.727272727272727
"6611","LOC111112885",13,24,14,NA,NA,NA,1.84615384615385,1.07692307692308,NA,NA,NA
"6612","LOC111112886",49,17,26,26,363,49.3333333333333,0.346938775510204,0.530612244897959,0.530612244897959,7.40816326530612,1.00680272108844
"6613","LOC111112888",12,11,16.6666666666667,41,NA,NA,0.916666666666667,1.38888888888889,3.41666666666667,NA,NA
"6614","LOC111112890",9,7,6,6,9,6,0.777777777777778,0.666666666666667,0.666666666666667,1,0.666666666666667
"6615","LOC111112891",30,25,25,23,18,14,0.833333333333333,0.833333333333333,0.766666666666667,0.6,0.466666666666667
"6616","LOC111112892",74,73,81,79,82,127,0.986486486486487,1.09459459459459,1.06756756756757,1.10810810810811,1.71621621621622
"6617","LOC111112893",125,105,91,115,76,90,0.84,0.728,0.92,0.608,0.72
"6618","LOC111112894",40,25,21,29,25,38,0.625,0.525,0.725,0.625,0.95
"6619","LOC111112895",33,30,31,33,30,39,0.909090909090909,0.939393939393939,1,0.909090909090909,1.18181818181818
"6620","LOC111112897",71,47,47,113,48,48,0.661971830985915,0.661971830985915,1.59154929577465,0.676056338028169,0.676056338028169
"6621","LOC111112898",50,39,46,42,40,46,0.78,0.92,0.84,0.8,0.92
"6622","LOC111112899",12.5,5.5,2.5,1,3.5,6,0.44,0.2,0.08,0.28,0.48
"6623","LOC111112900",88.5,93.5,80,76,71.5,76.25,1.05649717514124,0.903954802259887,0.858757062146893,0.807909604519774,0.861581920903955
"6624","LOC111112901",93,54,54,54,67,119,0.580645161290323,0.580645161290323,0.580645161290323,0.720430107526882,1.27956989247312
"6625","LOC111112909",135,76,56,91.6666666666667,123,107.333333333333,0.562962962962963,0.414814814814815,0.679012345679012,0.911111111111111,0.795061728395062
"6626","LOC111112912",33,78,190,88,92,100,2.36363636363636,5.75757575757576,2.66666666666667,2.78787878787879,3.03030303030303
"6627","LOC111112913",111,349,1066,39,214,248,3.14414414414414,9.6036036036036,0.351351351351351,1.92792792792793,2.23423423423423
"6628","LOC111112915",182.25,256,255,326,868.5,2939,1.40466392318244,1.39917695473251,1.78875171467764,4.76543209876543,16.1262002743484
"6629","LOC111112916",255,157.5,127,131.5,164.5,190,0.617647058823529,0.498039215686275,0.515686274509804,0.645098039215686,0.745098039215686
"6630","LOC111112917",685,500,228,1220,NA,NA,0.72992700729927,0.332846715328467,1.78102189781022,NA,NA
"6631","LOC111112918",34,76,47,11,20,24,2.23529411764706,1.38235294117647,0.323529411764706,0.588235294117647,0.705882352941177
"6632","LOC111112919",125,7,459,196,78,38,0.056,3.672,1.568,0.624,0.304
"6633","LOC111112920",47,132,96,59,86,107,2.80851063829787,2.04255319148936,1.25531914893617,1.82978723404255,2.27659574468085
"6634","LOC111112921",7,12,4,NA,NA,NA,1.71428571428571,0.571428571428571,NA,NA,NA
"6635","LOC111112925",76,141,148,85,101,118,1.85526315789474,1.94736842105263,1.11842105263158,1.32894736842105,1.55263157894737
"6636","LOC111112930",9,9,10,10,10,14,1,1.11111111111111,1.11111111111111,1.11111111111111,1.55555555555556
"6637","LOC111112934",44,12,11,29,22,NA,0.272727272727273,0.25,0.659090909090909,0.5,NA
"6638","LOC111112938",9,29,68,32,180,NA,3.22222222222222,7.55555555555556,3.55555555555556,20,NA
"6639","LOC111112939",3,8,7,8,7,5,2.66666666666667,2.33333333333333,2.66666666666667,2.33333333333333,1.66666666666667
"6640","LOC111112940",237,136.666666666667,136,92,60,55,0.576652601969058,0.573839662447257,0.388185654008439,0.253164556962025,0.232067510548523
"6641","LOC111112942",45.75,12,27.5,56.75,85.75,82.75,0.262295081967213,0.601092896174863,1.24043715846995,1.87431693989071,1.80874316939891
"6642","LOC111112943",50,84,50,125,66,75,1.68,1,2.5,1.32,1.5
"6643","LOC111112944",18,11,12,21,43,38,0.611111111111111,0.666666666666667,1.16666666666667,2.38888888888889,2.11111111111111
"6644","LOC111112945",148,161,172,169,67,133,1.08783783783784,1.16216216216216,1.14189189189189,0.452702702702703,0.898648648648649
"6645","LOC111112946",301,444,NA,NA,NA,NA,1.47508305647841,NA,NA,NA,NA
"6646","LOC111112947",91,118,90,71,114,111,1.2967032967033,0.989010989010989,0.78021978021978,1.25274725274725,1.21978021978022
"6647","LOC111112948",4,41,31,NA,NA,NA,10.25,7.75,NA,NA,NA
"6648","LOC111112949",1,28,NA,NA,NA,NA,28,NA,NA,NA,NA
"6649","LOC111112950",8,7,15,NA,NA,NA,0.875,1.875,NA,NA,NA
"6650","LOC111112952",22,35,41,38,31,25,1.59090909090909,1.86363636363636,1.72727272727273,1.40909090909091,1.13636363636364
"6651","LOC111112953",1,1,4,2,3,3,1,4,2,3,3
"6652","LOC111112955",9,14,17,15,3,4,1.55555555555556,1.88888888888889,1.66666666666667,0.333333333333333,0.444444444444444
"6653","LOC111112956",14,5,NA,NA,NA,NA,0.357142857142857,NA,NA,NA,NA
"6654","LOC111112957",17,191.5,NA,NA,NA,NA,11.2647058823529,NA,NA,NA,NA
"6655","LOC111112959",121,170,216,230,161,112,1.40495867768595,1.78512396694215,1.90082644628099,1.33057851239669,0.925619834710744
"6656","LOC111112960",33,23,4,15,20,9,0.696969696969697,0.121212121212121,0.454545454545455,0.606060606060606,0.272727272727273
"6657","LOC111112961",13,51,74,28,54,32,3.92307692307692,5.69230769230769,2.15384615384615,4.15384615384615,2.46153846153846
"6658","LOC111112962",40,20,32,3,NA,NA,0.5,0.8,0.075,NA,NA
"6659","LOC111112963",4,5,2,2,2,2,1.25,0.5,0.5,0.5,0.5
"6660","LOC111112964",23,33,35,42,56,39,1.43478260869565,1.52173913043478,1.82608695652174,2.43478260869565,1.69565217391304
"6661","LOC111112965",85,234,394,592,NA,NA,2.75294117647059,4.63529411764706,6.96470588235294,NA,NA
"6662","LOC111112966",10,7,9,7,7,7,0.7,0.9,0.7,0.7,0.7
"6663","LOC111112967",7,3,NA,NA,NA,NA,0.428571428571429,NA,NA,NA,NA
"6664","LOC111112968",22.3333333333333,21.6666666666667,21,NA,NA,NA,0.970149253731343,0.940298507462687,NA,NA,NA
"6665","LOC111112969",3,50,10,NA,NA,NA,16.6666666666667,3.33333333333333,NA,NA,NA
"6666","LOC111112970",15.25,23,NA,NA,NA,NA,1.50819672131148,NA,NA,NA,NA
"6667","LOC111112973",20,20,20,NA,NA,NA,1,1,NA,NA,NA
"6668","LOC111112978",457,86,NA,NA,NA,NA,0.188183807439825,NA,NA,NA,NA
"6669","LOC111112979",154,45,67,53,52,12,0.292207792207792,0.435064935064935,0.344155844155844,0.337662337662338,0.0779220779220779
"6670","LOC111112987",13,79,33,48,74,53,6.07692307692308,2.53846153846154,3.69230769230769,5.69230769230769,4.07692307692308
"6671","LOC111112988",15,44,NA,NA,NA,NA,2.93333333333333,NA,NA,NA,NA
"6672","LOC111112989",27,14,63,102,NA,NA,0.518518518518518,2.33333333333333,3.77777777777778,NA,NA
"6673","LOC111112990",11.6666666666667,9.33333333333333,12.3333333333333,12,10,11,0.8,1.05714285714286,1.02857142857143,0.857142857142857,0.942857142857143
"6674","LOC111112991",50.1,85.6,70.5,73.1,78.8,95.6,1.70858283433134,1.40718562874251,1.45908183632735,1.57285429141717,1.90818363273453
"6675","LOC111112993",1747,3336,6746,NA,NA,NA,1.909559244419,3.86147681740126,NA,NA,NA
"6676","LOC111112997",97,29,12,NA,NA,NA,0.298969072164948,0.123711340206186,NA,NA,NA
"6677","LOC111112999",15.6666666666667,10,5,8,NA,NA,0.638297872340426,0.319148936170213,0.51063829787234,NA,NA
"6678","LOC111113000",25,15,NA,NA,NA,NA,0.6,NA,NA,NA,NA
"6679","LOC111113001",3.33333333333333,19,7,7.66666666666667,14.3333333333333,14.3333333333333,5.7,2.1,2.3,4.3,4.3
"6680","LOC111113003",3,13,10,5,9,13,4.33333333333333,3.33333333333333,1.66666666666667,3,4.33333333333333
"6681","LOC111113010",2,7,8,6,6,1,3.5,4,3,3,0.5
"6682","LOC111113011",63.5,30,20,16,NA,NA,0.47244094488189,0.31496062992126,0.251968503937008,NA,NA
"6683","LOC111113013",84.75,214.5,258,NA,NA,NA,2.53097345132743,3.04424778761062,NA,NA,NA
"6684","LOC111113014",12,35,90,NA,NA,NA,2.91666666666667,7.5,NA,NA,NA
"6685","LOC111113015",58,58,NA,NA,NA,NA,1,NA,NA,NA,NA
"6686","LOC111113016",58,58,NA,NA,NA,NA,1,NA,NA,NA,NA
"6687","LOC111113017",78,58,54,NA,NA,NA,0.743589743589744,0.692307692307692,NA,NA,NA
"6688","LOC111113018",71,69,31,19,11,19,0.971830985915493,0.436619718309859,0.267605633802817,0.154929577464789,0.267605633802817
"6689","LOC111113019",17,15,15,17,15,21,0.882352941176471,0.882352941176471,1,0.882352941176471,1.23529411764706
"6690","LOC111113020",23.9166666666667,92.5833333333333,93.3333333333333,86.3333333333333,116.416666666667,319.833333333333,3.87108013937282,3.90243902439024,3.60975609756098,4.86759581881533,13.3728222996516
"6691","LOC111113021",11,10,10,12,13,NA,0.909090909090909,0.909090909090909,1.09090909090909,1.18181818181818,NA
"6692","LOC111113022",39,67,52,30,39,35,1.71794871794872,1.33333333333333,0.769230769230769,1,0.897435897435897
"6693","LOC111113023",54,47,40,78,NA,NA,0.87037037037037,0.740740740740741,1.44444444444444,NA,NA
"6694","LOC111113024",13,13,14,15,13,14,1,1.07692307692308,1.15384615384615,1,1.07692307692308
"6695","LOC111113026",25,54,30,46,41,71,2.16,1.2,1.84,1.64,2.84
"6696","LOC111113027",22,82,164,179,145,379,3.72727272727273,7.45454545454545,8.13636363636364,6.59090909090909,17.2272727272727
"6697","LOC111113028",50,103,31,46,45,35,2.06,0.62,0.92,0.9,0.7
