"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold2","fold3","fold4","fold5","fold6"
"11854","LOC111121807",4,333.333333333333,30,NA,NA,NA,83.3333333333333,7.5,NA,NA,NA
"11855","LOC111121808",1353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11856","LOC111121809",4091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11857","LOC111121810",6256,472,3193,NA,NA,NA,0.0754475703324808,0.510390025575448,NA,NA,NA
"11858","LOC111121812",51,110,23,NA,NA,NA,2.15686274509804,0.450980392156863,NA,NA,NA
"11859","LOC111121813",56,17,NA,NA,NA,NA,0.303571428571429,NA,NA,NA,NA
"11860","LOC111121814",40,13,113,65,NA,NA,0.325,2.825,1.625,NA,NA
"11861","LOC111121815",21,15,46,NA,NA,NA,0.714285714285714,2.19047619047619,NA,NA,NA
"11862","LOC111121816",61,34,39,24,7,19,0.557377049180328,0.639344262295082,0.39344262295082,0.114754098360656,0.311475409836066
"11863","LOC111121817",30,119,215,NA,NA,NA,3.96666666666667,7.16666666666667,NA,NA,NA
"11864","LOC111121818",20,8,13,19,25,33,0.4,0.65,0.95,1.25,1.65
"11865","LOC111121822",109,92,89,112,82,90,0.844036697247706,0.81651376146789,1.02752293577982,0.752293577981651,0.825688073394495
"11866","LOC111121826",39.5,25,19,35,NA,NA,0.632911392405063,0.481012658227848,0.886075949367089,NA,NA
"11867","LOC111121827",78,177,NA,NA,NA,NA,2.26923076923077,NA,NA,NA,NA
"11868","LOC111121828",99,130.5,76,NA,NA,NA,1.31818181818182,0.767676767676768,NA,NA,NA
"11869","LOC111121829",49,34,56,20,21,38,0.693877551020408,1.14285714285714,0.408163265306122,0.428571428571429,0.775510204081633
"11870","LOC111121830",7,155,9,12.25,26.25,44.75,22.1428571428571,1.28571428571429,1.75,3.75,6.39285714285714
"11871","LOC111121831",18,33,12,36,22,24,1.83333333333333,0.666666666666667,2,1.22222222222222,1.33333333333333
"11872","LOC111121832",171,117,NA,NA,NA,NA,0.684210526315789,NA,NA,NA,NA
"11873","LOC111121835",4385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11874","LOC111121836",225,21,24,35,17,112,0.0933333333333333,0.106666666666667,0.155555555555556,0.0755555555555556,0.497777777777778
"11875","LOC111121837",2193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876","LOC111121838",38,8,22,21,30,18,0.210526315789474,0.578947368421053,0.552631578947368,0.789473684210526,0.473684210526316
"11877","LOC111121839",60,46,42,52,34,40,0.766666666666667,0.7,0.866666666666667,0.566666666666667,0.666666666666667
"11878","LOC111121841",35,23,8,6,15,21,0.657142857142857,0.228571428571429,0.171428571428571,0.428571428571429,0.6
"11879","LOC111121843",20,70,160,32,19,13,3.5,8,1.6,0.95,0.65
"11880","LOC111121844",31,12,54,35,NA,NA,0.387096774193548,1.74193548387097,1.12903225806452,NA,NA
"11881","LOC111121846",4,8,25,20,22,12,2,6.25,5,5.5,3
"11882","LOC111121848",32,51,82,113,55,39,1.59375,2.5625,3.53125,1.71875,1.21875
"11883","LOC111121849",115,119,138,122,127,123,1.03478260869565,1.2,1.06086956521739,1.10434782608696,1.0695652173913
"11884","LOC111121850",74,12,28,84,25,20,0.162162162162162,0.378378378378378,1.13513513513514,0.337837837837838,0.27027027027027
"11885","LOC111121852",37,244.5,59.5,8,NA,NA,6.60810810810811,1.60810810810811,0.216216216216216,NA,NA
"11886","LOC111121853",45,80,75,37,85,77.8333333333333,1.77777777777778,1.66666666666667,0.822222222222222,1.88888888888889,1.72962962962963
"11887","LOC111121854",10,21,29,32,38,42,2.1,2.9,3.2,3.8,4.2
"11888","LOC111121856",84,81,83,82,107,NA,0.964285714285714,0.988095238095238,0.976190476190476,1.27380952380952,NA
"11889","LOC111121857",106,42,94,47,39,15,0.39622641509434,0.886792452830189,0.443396226415094,0.367924528301887,0.141509433962264
"11890","LOC111121859",10,19,72,6,45,26,1.9,7.2,0.6,4.5,2.6
"11891","LOC111121860",37,18,18,29,161,NA,0.486486486486487,0.486486486486487,0.783783783783784,4.35135135135135,NA
"11892","LOC111121867",22,4,21,54,18,14,0.181818181818182,0.954545454545455,2.45454545454545,0.818181818181818,0.636363636363636
"11893","LOC111121868",629,617,NA,NA,NA,NA,0.980922098569157,NA,NA,NA,NA
"11894","LOC111121873",26,4,9,25,13,3,0.153846153846154,0.346153846153846,0.961538461538462,0.5,0.115384615384615
"11895","LOC111121875",48,30,34,27,87,76,0.625,0.708333333333333,0.5625,1.8125,1.58333333333333
"11896","LOC111121876",27,53,16,14,10,11,1.96296296296296,0.592592592592593,0.518518518518518,0.37037037037037,0.407407407407407
"11897","LOC111121877",49,10,18,41,30,37,0.204081632653061,0.36734693877551,0.836734693877551,0.612244897959184,0.755102040816326
"11898","LOC111121878",15,255,NA,NA,NA,NA,17,NA,NA,NA,NA
"11899","LOC111121879",163,21,46,54,35,20,0.128834355828221,0.282208588957055,0.331288343558282,0.214723926380368,0.122699386503067
"11900","LOC111121880",7,110,9.66666666666667,14,32,34.3333333333333,15.7142857142857,1.38095238095238,2,4.57142857142857,4.90476190476191
"11901","LOC111121881",5,8,40,18,16,21,1.6,8,3.6,3.2,4.2
"11902","LOC111121882",190,175,66,92.3333333333333,48.3333333333333,262,0.921052631578947,0.347368421052632,0.485964912280702,0.254385964912281,1.37894736842105
"11903","LOC111121883",130,121,NA,NA,NA,NA,0.930769230769231,NA,NA,NA,NA
"11904","LOC111121884",26,35,16,13,16,15,1.34615384615385,0.615384615384615,0.5,0.615384615384615,0.576923076923077
"11905","LOC111121887",36,22,27,46,108,NA,0.611111111111111,0.75,1.27777777777778,3,NA
"11906","LOC111121888",94,32,38,145,NA,NA,0.340425531914894,0.404255319148936,1.54255319148936,NA,NA
"11907","LOC111121889",82,90,95,116,111,114,1.09756097560976,1.15853658536585,1.41463414634146,1.35365853658537,1.39024390243902
"11908","LOC111121890",278,43,14,9,12,14,0.154676258992806,0.0503597122302158,0.0323741007194245,0.0431654676258993,0.0503597122302158
"11909","LOC111121891",9,18,61,24,39,19,2,6.77777777777778,2.66666666666667,4.33333333333333,2.11111111111111
"11910","LOC111121892",12,66,105,62,NA,NA,5.5,8.75,5.16666666666667,NA,NA
"11911","LOC111121893",9.5,4,6,23,11,20,0.421052631578947,0.631578947368421,2.42105263157895,1.15789473684211,2.10526315789474
"11912","LOC111121894",61,44,26,44,NA,NA,0.721311475409836,0.426229508196721,0.721311475409836,NA,NA
