LOC111112588 rna-XM_022450150.1
LOC111112596 rna-XM_022450167.1
LOC111112605 rna-XM_022450205.1
LOC111112614 rna-XM_022450228.1
LOC111112620 rna-XM_022450342.1
LOC111112624 rna-XM_022450251.1
LOC111112628 rna-XM_022450259.1
LOC111112643 rna-XM_022450304.1
LOC111112646 rna-XR_002636307.1
LOC111112649 rna-XM_022450312.1
LOC111112667 rna-XM_022450373.1
LOC111112685 rna-XM_022450397.1
LOC111112688 rna-XM_022450408.1
LOC111112757 rna-XM_022450520.1
LOC111112763 rna-XM_022450531.1
LOC111112772 rna-XM_022450544.1
LOC111112779 rna-XR_002636368.1
LOC111112780 rna-XR_002636376.1
LOC111112781 rna-XM_022450574.1
LOC111112786 rna-XM_022450579.1
LOC111112846 rna-XM_022450695.1
LOC111112878 rna-XM_022450732.1
LOC111112909 rna-XM_022450785.1
LOC111112915 rna-XM_022450794.1
LOC111112934 rna-XM_022450825.1
LOC111112957 rna-XM_022450851.1
LOC111112969 rna-XM_022450872.1
LOC111112991 rna-XM_022450901.1
LOC111113020 rna-XM_022450944.1
LOC111113042 rna-XM_022450999.1
LOC111113053 rna-XM_022451002.1
LOC111113057 rna-XR_002636438.1
LOC111113062 rna-XM_022451026.1
LOC111113111 rna-XR_002636471.1
LOC111113116 rna-XM_022451101.1
LOC111113122 rna-XM_022451108.1
LOC111113134 rna-XM_022451138.1
LOC111113153 rna-XR_002636477.1
LOC111113157 rna-XM_022451163.1
LOC111113159 rna-XM_022451172.1
LOC111113173 rna-XM_022451214.1
LOC111113177 rna-XM_022451249.1
LOC111113202 rna-XM_022451299.1
LOC111113213 rna-XR_002636493.1
LOC111113249 rna-XM_022451347.1
LOC111113257 rna-XM_022451361.1
LOC111113274 rna-XM_022451398.1
LOC111113316 rna-XM_022451496.1
LOC111113342 rna-XM_022451539.1
LOC111113346 rna-XM_022451565.1
LOC111113349 rna-XM_022451551.1
LOC111113352 rna-XM_022451560.1
LOC111113363 rna-XM_022451590.1
LOC111113366 rna-XM_022451597.1
LOC111113372 rna-XM_022451608.1
LOC111113386 rna-XM_022451628.1
LOC111113411 rna-XM_022451667.1
LOC111113416 rna-XM_022451673.1
LOC111113422 rna-XM_022451688.1
LOC111113425 rna-XM_022451693.1
LOC111113554 rna-XM_022451877.1
LOC111114451 rna-XM_022452746.1
LOC111114471 rna-XM_022452781.1
LOC111114475 rna-XM_022452787.1
LOC111114486 rna-XM_022452806.1
LOC111114491 rna-XM_022452808.1
LOC111114495 rna-XM_022452821.1
LOC111114527 rna-XM_022452869.1
LOC111114581 rna-XM_022452944.1
LOC111114619 rna-XM_022453005.1
LOC111114661 rna-XM_022453066.1
LOC111114682 rna-XM_022453102.1
LOC111114685 rna-XM_022453106.1
LOC111114695 rna-XR_002636615.1
LOC111114770 rna-XM_022453234.1
LOC111114803 rna-XM_022453283.1
LOC111114816 rna-XM_022453293.1
LOC111114825 rna-XM_022453313.1
LOC111114834 rna-XM_022453330.1
LOC111114836 rna-XM_022453333.1
LOC111114844 rna-XM_022453347.1
LOC111114855 rna-XM_022453366.1
LOC111114863 rna-XM_022453382.1
LOC111114865 rna-XM_022453390.1
LOC111114882 rna-XM_022453403.1
LOC111114910 rna-XM_022453453.1
LOC111114919 rna-XM_022453462.1
LOC111114922 rna-XM_022453467.1
LOC111114972 rna-XR_002636721.1
LOC111114983 rna-XM_022453529.1
LOC111115064 rna-XM_022453641.1
LOC111115072 rna-XM_022453651.1
LOC111115082 rna-XM_022453664.1
LOC111115084 rna-XR_002636749.1
LOC111115090 rna-XM_022453672.1
LOC111115095 rna-XM_022453684.1
LOC111115105 rna-XM_022453701.1
LOC111115107 rna-XM_022453714.1
LOC111115122 rna-XM_022453738.1
LOC111115123 rna-XM_022453746.1
LOC111115128 rna-XR_002636754.1
LOC111115130 rna-XM_022453754.1
LOC111115166 rna-XM_022453808.1
LOC111115176 rna-XM_022453839.1
LOC111115185 rna-XM_022453836.1
LOC111115203 rna-XM_022453862.1
LOC111115238 rna-XM_022453901.1
LOC111115255 rna-XM_022453917.1
LOC111115259 rna-XM_022453927.1
LOC111115287 rna-XM_022453972.1
LOC111115306 rna-XR_002636794.1
LOC111115341 rna-XM_022454033.1
LOC111115342 rna-XM_022454039.1
LOC111115362 rna-XM_022454069.1
LOC111115402 rna-XR_002636817.1
LOC111115419 rna-XM_022454144.1
LOC111115435 rna-XM_022454167.1
LOC111115506 rna-XR_002636837.1
LOC111115569 rna-XM_022454355.1
LOC111115603 rna-XM_022454395.1
LOC111115624 rna-XM_022454437.1
LOC111115675 rna-XM_022454511.1
LOC111115718 rna-XM_022454552.1
LOC111115735 rna-XM_022454572.1
