gene_name,females_controls_predom_isoform,females_exposed_predom_isoform,males_controls_predom_isoform,males_exposed_predom_isoform
LOC111136717,rna-XM_022487794.1,rna-XM_022487794.1,rna-XM_022487794.1,rna-XM_022487794.1
LOC111136718,gene-LOC111136718,gene-LOC111136718,gene-LOC111136718,gene-LOC111136718
LOC111136719,rna-XM_022487795.1,rna-XM_022487795.1,rna-XM_022487795.1,rna-XM_022487795.1
LOC111136720,rna-XM_022487797.1,rna-XM_022487797.1,rna-XM_022487797.1,rna-XM_022487797.1
LOC111136721,rna-XM_022487798.1,rna-XM_022487798.1,rna-XM_022487798.1,rna-XM_022487798.1
LOC111136722,rna-XM_022487801.1,rna-XM_022487801.1,rna-XM_022487799.1,rna-XM_022487799.1
LOC111136723,rna-XM_022487803.1,rna-XM_022487803.1,rna-XM_022487803.1,rna-XM_022487803.1
LOC111136724,rna-XM_022487806.1,rna-XM_022487806.1,rna-XM_022487805.1,rna-XM_022487805.1
LOC111136725,rna-XM_022487807.1,rna-XM_022487807.1,rna-XM_022487807.1,rna-XM_022487807.1
LOC111136726,rna-XM_022487808.1,rna-XM_022487808.1,rna-XM_022487808.1,rna-XM_022487808.1
LOC111136727,rna-XM_022487810.1,rna-XM_022487810.1,rna-XM_022487810.1,rna-XM_022487810.1
LOC111136728,rna-XM_022487814.1,rna-XM_022487814.1,rna-XM_022487814.1,rna-XM_022487814.1
LOC111136729,rna-XM_022487818.1,rna-XM_022487818.1,rna-XM_022487818.1,rna-XM_022487818.1
LOC111136730,rna-XM_022487815.1,rna-XM_022487815.1,rna-XM_022487815.1,rna-XM_022487815.1
