LOC111106238 rna-XM_022440827.1
LOC111106240 rna-XM_022440830.1
LOC111106242 rna-XM_022440845.1
LOC111106260 rna-XM_022440865.1
LOC111106294 rna-XM_022440910.1
LOC111106336 rna-XR_002635199.1
LOC111106418 rna-XM_022441087.1
LOC111106420 rna-XM_022441090.1
LOC111106425 rna-XM_022441099.1
LOC111106436 rna-XR_002635215.1
LOC111106461 rna-XM_022441144.1
LOC111106471 rna-XM_022441165.1
LOC111106480 rna-XM_022441179.1
LOC111106578 rna-XM_022441305.1
LOC111106611 rna-XM_022441344.1
LOC111106629 rna-XM_022441367.1
LOC111106630 rna-XM_022441370.1
LOC111106639 rna-XR_002635240.1
LOC111106656 rna-XM_022441417.1
LOC111106711 rna-XM_022441499.1
LOC111106729 rna-XM_022441520.1
LOC111106749 rna-XM_022441547.1
LOC111106790 rna-XM_022441611.1
LOC111106802 rna-XM_022441624.1
LOC111106830 rna-XM_022441671.1
LOC111106837 rna-XM_022441681.1
LOC111106867 rna-XM_022441728.1
LOC111106900 rna-XM_022441781.1
LOC111106915 rna-XR_002635313.1
LOC111106975 rna-XM_022441877.1
LOC111106996 rna-XR_002635321.1
LOC111107040 rna-XM_022441985.1
LOC111107085 rna-XM_022442054.1
LOC111107185 rna-XM_022442238.1
LOC111107186 rna-XM_022442241.1
LOC111107208 rna-XM_022442290.1
LOC111107272 rna-XM_022442388.1
LOC111107316 rna-XM_022442455.1
LOC111107328 rna-XM_022442492.1
LOC111107342 rna-XM_022442506.1
LOC111107349 rna-XM_022442520.1
LOC111107351 rna-XM_022442524.1
LOC111107370 rna-XM_022442557.1
LOC111107393 rna-XM_022442576.1
LOC111107404 rna-XM_022442591.1
LOC111107409 rna-XM_022442600.1
LOC111107424 rna-XM_022442731.1
LOC111107427 rna-XM_022442626.1
LOC111107486 rna-XM_022442705.1
LOC111107493 rna-XM_022442717.1
LOC111107523 rna-XM_022442770.1
LOC111107551 rna-XM_022442844.1
LOC111107560 rna-XR_002635419.1
LOC111107627 rna-XM_022442905.1
LOC111107631 rna-XM_022442911.1
LOC111107668 rna-XM_022442963.1
LOC111107671 rna-XM_022442977.1
LOC111107731 rna-XM_022443072.1
LOC111107786 rna-XM_022443136.1
LOC111107792 rna-XM_022443147.1
LOC111107815 rna-XM_022443177.1
LOC111107822 rna-XM_022443190.1
LOC111107926 rna-XM_022443364.1
LOC111107933 rna-XM_022443386.1
LOC111107947 rna-XM_022443411.1
LOC111108010 rna-XM_022443486.1
LOC111108016 rna-XM_022443497.1
LOC111108022 rna-XM_022443510.1
LOC111108045 rna-XM_022443534.1
LOC111108046 rna-XM_022443539.1
LOC111108050 rna-XM_022443544.1
LOC111108081 rna-XM_022443602.1
LOC111108086 rna-XM_022443611.1
LOC111108108 rna-XM_022443677.1
LOC111108120 rna-XM_022443695.1
LOC111108143 rna-XM_022443752.1
LOC111108144 rna-XR_002635534.1
LOC111108176 rna-XM_022443814.1
LOC111108185 rna-XM_022443832.1
LOC111108218 rna-XM_022443951.1
LOC111108249 rna-XM_022444454.1
LOC111108265 rna-XM_022444028.1
LOC111108274 rna-XM_022444048.1
LOC111108323 rna-XM_022444124.1
LOC111108341 rna-XM_022444150.1
LOC111108370 rna-XM_022444200.1
LOC111108381 rna-XM_022444220.1
LOC111108388 rna-XM_022444238.1
LOC111108398 rna-XM_022444251.1
LOC111108451 rna-XM_022444349.1
LOC111108479 rna-XM_022444401.1
LOC111108491 rna-XM_022444420.1
LOC111108501 rna-XR_002635582.1
LOC111108503 rna-XM_022444437.1
LOC111108545 rna-XM_022444524.1
LOC111108554 rna-XM_022444536.1
LOC111108642 rna-XM_022444648.1
LOC111108654 rna-XM_022444677.1
LOC111108662 rna-XM_022444687.1
LOC111108670 rna-XM_022444704.1
LOC111108677 rna-XM_022444712.1
LOC111108693 rna-XM_022444725.1
LOC111108695 rna-XR_002635625.1
LOC111108696 rna-XM_022444730.1
LOC111108724 rna-XM_022444766.1
LOC111108726 rna-XM_022444773.1
LOC111108728 rna-XM_022444777.1
LOC111108732 rna-XM_022444785.1
LOC111108772 rna-XM_022444862.1
LOC111108777 rna-XM_022444850.1
LOC111108788 rna-XM_022444869.1
LOC111108901 rna-XM_022445002.1
LOC111109043 rna-XM_022445140.1
LOC111109174 rna-XM_022445265.1
LOC111109432 rna-XM_022445534.1
LOC111109468 rna-XM_022445593.1
LOC111109471 rna-XM_022445601.1
LOC111109483 rna-XM_022445615.1
LOC111109484 rna-XM_022445617.1
LOC111109487 rna-XM_022445624.1
LOC111109585 rna-XM_022445764.1
LOC111109590 rna-XM_022445772.1
LOC111109592 rna-XM_022445780.1
LOC111109635 rna-XM_022445840.1
LOC111109755 rna-XM_022445984.1
LOC111109768 rna-XM_022445997.1
LOC111109814 rna-XM_022446055.1
LOC111109821 rna-XM_022446061.1
LOC111109868 rna-XM_022446120.1
LOC111109885 rna-XM_022446142.1
LOC111109930 rna-XM_022446198.1
LOC111109962 rna-XM_022446240.1
LOC111109973 rna-XR_002635741.1
LOC111110021 rna-XM_022446329.1
LOC111110024 rna-XM_022446336.1
LOC111110028 rna-XM_022446345.1
LOC111110033 rna-XM_022446357.1
LOC111110045 rna-XM_022446377.1
LOC111110073 rna-XM_022446406.1
LOC111110093 rna-XM_022446443.1
LOC111110101 rna-XR_002635762.1
LOC111110107 rna-XM_022446468.1
LOC111110120 rna-XM_022446484.1
LOC111110127 rna-XM_022446494.1
LOC111110139 rna-XR_002635766.1
LOC111110199 rna-XM_022446592.1
LOC111110239 rna-XR_002635786.1
LOC111110243 rna-XM_022446650.1
LOC111110244 rna-XM_022446652.1
LOC111110250 rna-XM_022446667.1
LOC111110260 rna-XM_022446681.1
LOC111110280 rna-XM_022446704.1
LOC111110297 rna-XM_022446733.1
LOC111110337 rna-XM_022446791.1
LOC111110352 rna-XM_022446824.1
LOC111110371 rna-XM_022446846.1
LOC111110395 rna-XM_022446882.1
LOC111110398 rna-XM_022446884.1
LOC111110399 rna-XM_022446890.1
LOC111110478 rna-XM_022446996.1
LOC111110501 rna-XM_022447064.1
LOC111110503 rna-XM_022447029.1
LOC111110509 rna-XM_022447039.1
LOC111110540 rna-XM_022447079.1
LOC111110625 rna-XM_022447198.1
LOC111110633 rna-XM_022447210.1
LOC111110640 rna-XM_022447225.1
LOC111110648 rna-XM_022447240.1
LOC111110659 rna-XM_022447253.1
LOC111110670 rna-XM_022447267.1
LOC111110671 rna-XM_022447268.1
LOC111110672 rna-XM_022447274.1
LOC111110715 rna-XM_022447301.1
LOC111110718 rna-XM_022447310.1
LOC111110720 rna-XM_022447312.1
LOC111110738 rna-XM_022447332.1
LOC111110740 rna-XR_002635850.1
LOC111110833 rna-XM_022447465.1
LOC111110875 rna-XM_022447525.1
LOC111110886 rna-XM_022447542.1
LOC111110910 rna-XM_022447580.1
LOC111110953 rna-XM_022447633.1
LOC111110961 rna-XM_022447643.1
LOC111111013 rna-XM_022447739.1
LOC111111019 rna-XM_022447752.1
LOC111111025 rna-XM_022447760.1
LOC111111047 rna-XM_022447785.1
LOC111111048 rna-XM_022447787.1
LOC111111054 rna-XM_022447793.1
LOC111111099 rna-XM_022447872.1
LOC111111114 rna-XM_022447897.1
LOC111111120 rna-XM_022447910.1
LOC111111125 rna-XM_022447925.1
LOC111111128 rna-XM_022447930.1
LOC111111168 rna-XM_022447986.1
LOC111111178 rna-XM_022447995.1
LOC111111209 rna-XR_002635982.1
LOC111111215 rna-XM_022448049.1
LOC111111219 rna-XM_022448055.1
LOC111111241 rna-XM_022448092.1
LOC111111289 rna-XM_022448169.1
LOC111111297 rna-XM_022448184.1
LOC111111320 rna-XM_022448225.1
LOC111111347 rna-XM_022448276.1
LOC111111358 rna-XM_022448289.1
LOC111111361 rna-XM_022448300.1
LOC111111402 rna-XM_022448387.1
LOC111111403 rna-XM_022448396.1
LOC111111407 rna-XM_022448391.1
LOC111111472 rna-XM_022448469.1
LOC111111514 rna-XM_022448532.1
LOC111111543 rna-XM_022448587.1
LOC111111545 rna-XR_002636054.1
LOC111111553 rna-XM_022448601.1
LOC111111557 rna-XM_022448605.1
LOC111111582 rna-XM_022448638.1
LOC111111593 rna-XM_022448658.1
LOC111111616 rna-XM_022448694.1
LOC111111620 rna-XM_022448703.1
LOC111111666 rna-XM_022448765.1
LOC111111680 rna-XM_022448797.1
LOC111111684 rna-XM_022448805.1
LOC111111690 rna-XM_022448808.1
LOC111111691 rna-XM_022448813.1
LOC111111721 rna-XM_022448868.1
LOC111111761 rna-XM_022448897.1
LOC111111780 rna-XM_022448929.1
LOC111111820 rna-XM_022448978.1
LOC111111855 rna-XM_022449072.1
LOC111111886 rna-XM_022449079.1
LOC111111918 rna-XM_022449109.1
LOC111111941 rna-XM_022449143.1
LOC111111998 rna-XM_022449233.1
LOC111112001 rna-XM_022449239.1
LOC111112011 rna-XM_022449285.1
LOC111112032 rna-XM_022449326.1
LOC111112036 rna-XM_022449332.1
LOC111112086 rna-XM_022449392.1
LOC111112126 rna-XM_022449465.1
LOC111112130 rna-XM_022449482.1
LOC111112135 rna-XM_022449491.1
LOC111112163 rna-XR_002636196.1
LOC111112173 rna-XM_022449554.1
LOC111112201 rna-XM_022449592.1
LOC111112202 rna-XM_022449597.1
LOC111112216 rna-XM_022449624.1
LOC111112227 rna-XR_002636215.1
LOC111112238 rna-XM_022449651.1
LOC111112266 rna-XM_022449682.1
LOC111112301 rna-XM_022449719.1
LOC111112352 rna-XM_022449804.1
LOC111112358 rna-XM_022449811.1
LOC111112365 rna-XM_022449819.1
LOC111112369 rna-XM_022449946.1
LOC111112388 rna-XR_002636257.1
LOC111112448 rna-XM_022449951.1
LOC111112452 rna-XM_022449962.1
LOC111112510 rna-XM_022450034.1
LOC111112517 rna-XM_022450051.1
LOC111112550 rna-XM_022450075.1
LOC111112559 rna-XM_022450084.1
LOC111112588 rna-XM_022450157.1
LOC111112596 rna-XM_022450165.1
LOC111112605 rna-XM_022450186.1
LOC111112614 rna-XM_022450224.1
LOC111112620 rna-XM_022450359.1
LOC111112624 rna-XM_022450249.1
LOC111112628 rna-XM_022450261.1
LOC111112643 rna-XM_022450303.1
LOC111112646 rna-XR_002636306.1
LOC111112649 rna-XM_022450311.1
LOC111112667 rna-XM_022450374.1
LOC111112685 rna-XM_022450396.1
LOC111112688 rna-XM_022450410.1
LOC111112757 rna-XM_022450519.1
LOC111112763 rna-XM_022450533.1
LOC111112772 rna-XM_022450543.1
LOC111112779 rna-XM_022450569.1
LOC111112780 rna-XR_002636373.1
LOC111112781 rna-XM_022450573.1
LOC111112786 rna-XM_022450578.1
LOC111112846 rna-XM_022450694.1
LOC111112878 rna-XM_022450733.1
LOC111112909 rna-XM_022450803.1
LOC111112915 rna-XM_022450793.1
LOC111112934 rna-XM_022450834.1
LOC111112957 rna-XM_022450850.1
LOC111112969 rna-XM_022450871.1
LOC111112991 rna-XM_022450898.1
LOC111113020 rna-XM_022450941.1
LOC111113042 rna-XM_022450992.1
LOC111113053 rna-XM_022451004.1
LOC111113057 rna-XR_002636437.1
LOC111113062 rna-XM_022451030.1
LOC111113111 rna-XR_002636472.1
LOC111113116 rna-XM_022451100.1
LOC111113122 rna-XM_022451110.1
LOC111113134 rna-XM_022451139.1
LOC111113153 rna-XR_002636476.1
LOC111113157 rna-XM_022451166.1
LOC111113159 rna-XM_022451177.1
LOC111113173 rna-XM_022451227.1
LOC111113177 rna-XM_022451252.1
LOC111113202 rna-XM_022451300.1
LOC111113213 rna-XM_022451313.1
LOC111113249 rna-XM_022451346.1
LOC111113257 rna-XM_022451359.1
LOC111113274 rna-XM_022451392.1
LOC111113316 rna-XM_022451493.1
LOC111113342 rna-XM_022451538.1
LOC111113346 rna-XM_022451548.1
LOC111113349 rna-XM_022451553.1
LOC111113352 rna-XM_022451561.1
LOC111113363 rna-XM_022451591.1
LOC111113366 rna-XM_022451598.1
LOC111113372 rna-XM_022451607.1
LOC111113386 rna-XM_022451630.1
LOC111113411 rna-XM_022451666.1
LOC111113416 rna-XM_022451675.1
LOC111113422 rna-XM_022451689.1
LOC111113425 rna-XM_022451695.1
LOC111113554 rna-XM_022451865.1
LOC111114451 rna-XM_022452747.1
LOC111114471 rna-XM_022452780.1
LOC111114475 rna-XM_022452789.1
LOC111114486 rna-XM_022452804.1
LOC111114491 rna-XM_022452809.1
LOC111114495 rna-XM_022452818.1
LOC111114527 rna-XM_022452868.1
LOC111114581 rna-XM_022452943.1
LOC111114619 rna-XM_022453006.1
LOC111114661 rna-XM_022453065.1
LOC111114682 rna-XM_022453103.1
LOC111114685 rna-XM_022453107.1
LOC111114695 rna-XR_002636614.1
LOC111114770 rna-XM_022453235.1
LOC111114803 rna-XM_022453284.1
LOC111114816 rna-XM_022453292.1
LOC111114825 rna-XM_022453311.1
LOC111114834 rna-XM_022453329.1
LOC111114836 rna-XM_022453335.1
LOC111114844 rna-XM_022453346.1
LOC111114855 rna-XM_022453367.1
LOC111114863 rna-XM_022453383.1
LOC111114865 rna-XM_022453401.1
LOC111114882 rna-XM_022453407.1
LOC111114910 rna-XR_002636682.1
LOC111114919 rna-XR_002636683.1
LOC111114922 rna-XM_022453469.1
LOC111114972 rna-XM_022453513.1
LOC111114983 rna-XM_022453528.1
LOC111115064 rna-XR_002636740.1
LOC111115072 rna-XM_022453652.1
LOC111115082 rna-XM_022453665.1
LOC111115084 rna-XR_002636747.1
LOC111115090 rna-XM_022453671.1
LOC111115095 rna-XM_022453683.1
LOC111115105 rna-XM_022453704.1
LOC111115107 rna-XM_022453708.1
LOC111115122 rna-XM_022453736.1
LOC111115123 rna-XM_022453769.1
LOC111115128 rna-XR_002636753.1
LOC111115130 rna-XM_022453755.1
LOC111115166 rna-XM_022453809.1
LOC111115176 rna-XM_022453823.1
LOC111115185 rna-XM_022453835.1
LOC111115203 rna-XM_022453876.1
LOC111115238 rna-XM_022453903.1
LOC111115255 rna-XR_002636774.1
LOC111115259 rna-XM_022453926.1
LOC111115287 rna-XM_022453971.1
LOC111115306 rna-XR_002636798.1
LOC111115341 rna-XM_022454038.1
LOC111115342 rna-XM_022454101.1
LOC111115362 rna-XM_022454068.1
LOC111115402 rna-XM_022454122.1
LOC111115419 rna-XM_022454142.1
LOC111115435 rna-XM_022454166.1
LOC111115506 rna-XM_022454269.1
LOC111115569 rna-XM_022454354.1
LOC111115603 rna-XM_022454394.1
LOC111115624 rna-XM_022454438.1
LOC111115675 rna-XM_022454505.1
LOC111115718 rna-XM_022454553.1
LOC111115735 rna-XR_002636891.1
