LOC111102241 rna-XM_022434902.1
LOC111102255 rna-XR_002634442.1
LOC111102283 rna-XM_022434962.1
LOC111102299 rna-XM_022434984.1
LOC111102337 rna-XM_022435003.1
LOC111102353 rna-XM_022435030.1
LOC111102357 rna-XM_022435037.1
LOC111102361 rna-XM_022435045.1
LOC111102369 rna-XM_022435063.1
LOC111102374 rna-XM_022435068.1
LOC111102389 rna-XM_022435094.1
LOC111102426 rna-XM_022435166.1
LOC111102433 rna-XM_022435173.1
LOC111102435 rna-XM_022435180.1
LOC111102446 rna-XM_022435191.1
LOC111102463 rna-XM_022435213.1
LOC111102482 rna-XM_022435241.1
LOC111102485 rna-XM_022435250.1
LOC111102493 rna-XM_022435263.1
LOC111102496 rna-XM_022435279.1
LOC111102504 rna-XM_022435290.1
LOC111102513 rna-XM_022435300.1
LOC111102515 rna-XM_022435304.1
LOC111102521 rna-XM_022435310.1
LOC111102525 rna-XM_022435316.1
LOC111102526 rna-XM_022435317.1
LOC111102571 rna-XM_022435372.1
LOC111102582 rna-XM_022435385.1
LOC111102584 rna-XM_022435391.1
LOC111102594 rna-XM_022435407.1
LOC111102613 rna-XM_022435434.1
LOC111102665 rna-XM_022435514.1
LOC111102675 rna-XM_022435510.1
LOC111102677 rna-XM_022435515.1
LOC111102682 rna-XM_022435529.1
LOC111102697 rna-XM_022435544.1
LOC111102719 rna-XM_022435578.1
LOC111102721 rna-XM_022435583.1
LOC111102735 rna-XM_022435599.1
LOC111102736 rna-XM_022435600.1
LOC111102745 rna-XR_002634552.1
LOC111102747 rna-XR_002634556.1
LOC111102779 rna-XM_022435646.1
LOC111102801 rna-XM_022435668.1
LOC111102805 rna-XM_022435677.1
LOC111102809 rna-XM_022435681.1
LOC111102815 rna-XM_022435697.1
LOC111102817 rna-XM_022435701.1
LOC111102824 rna-XM_022435712.1
LOC111102828 rna-XM_022435721.1
LOC111102833 rna-XM_022435860.1
LOC111102836 rna-XM_022435735.1
LOC111102843 rna-XM_022435753.1
LOC111102850 rna-XM_022435764.1
LOC111102853 rna-XM_022435771.1
LOC111102865 rna-XM_022435782.1
LOC111102872 rna-XM_022435794.1
LOC111102889 rna-XM_022435823.1
LOC111102903 rna-XM_022435843.1
LOC111102907 rna-XM_022435849.1
LOC111102911 rna-XM_022435852.1
LOC111102918 rna-XR_002634601.1
LOC111102932 rna-XM_022435887.1
LOC111102946 rna-XM_022435901.1
LOC111102960 rna-XR_002634611.1
LOC111102967 rna-XR_002634615.1
LOC111102987 rna-XM_022435957.1
LOC111102989 rna-XM_022435955.1
LOC111103015 rna-XM_022436003.1
LOC111103021 rna-XM_022436018.1
LOC111103024 rna-XR_002634629.1
LOC111103027 rna-XM_022436023.1
LOC111103032 rna-XM_022436032.1
LOC111103061 rna-XM_022436066.1
LOC111103092 rna-XM_022436110.1
LOC111103096 rna-XM_022436130.1
LOC111103115 rna-XM_022436149.1
LOC111103135 rna-XM_022436177.1
LOC111103144 rna-XM_022436191.1
LOC111103148 rna-XM_022436195.1
LOC111103157 rna-XM_022436210.1
LOC111103169 rna-XM_022436227.1
LOC111103176 rna-XR_002634666.1
LOC111103223 rna-XM_022436306.1
LOC111103235 rna-XM_022436323.1
LOC111103244 rna-XM_022436350.1
LOC111103253 rna-XM_022436379.1
LOC111103274 rna-XM_022436431.1
LOC111103284 rna-XM_022436418.1
LOC111103287 rna-XM_022436437.1
LOC111103289 rna-XM_022436458.1
LOC111103291 rna-XM_022436462.1
LOC111103304 rna-XM_022436475.1
LOC111103305 rna-XM_022436479.1
LOC111103306 rna-XM_022436492.1
LOC111103311 rna-XM_022436488.1
LOC111103315 rna-XM_022436496.1
LOC111103316 rna-XM_022436498.1
LOC111103328 rna-XM_022436512.1
LOC111103337 rna-XM_022436524.1
LOC111103339 rna-XM_022436532.1
LOC111103342 rna-XM_022436536.1
LOC111103344 rna-XR_002634714.1
LOC111103345 rna-XR_002634727.1
LOC111103348 rna-XM_022436679.1
