"","gene","Sample.ID","Treatment","Sex","mean","sem"
"327","gene-LOC111116214","48M","Exposed","M",0.326211759259259,0.128193806287953
"328","gene-LOC111116214","50F","Exposed","F",0.788462444444444,0.436962400948132
"329","gene-LOC111116214","52F","Control","F",0.605569592592593,0.165493353142707
"330","gene-LOC111116214","53F","Control","F",0.0826719444444445,0.058037247051476
"331","gene-LOC111116214","54F","Control","F",0.613105740740741,0.495402037934102
"332","gene-LOC111116214","59M","Exposed","M",1.72113288888889,1.66652896721704
"333","gene-LOC111116214","64M","Control","M",0.204010037037037,0.0829081129911542
"334","gene-LOC111116214","6M","Control","M",0.814248092592593,0.658297631532704
"335","gene-LOC111116214","76F","Control","F",0.705391462962963,0.396749527793766
"336","gene-LOC111116214","77F","Exposed","F",0.797168296296296,0.488005341236284
"337","gene-LOC111116214","7M","Control","M",0.51618337037037,0.422327689060515
"338","gene-LOC111116214","9M","Exposed","M",0.965235907407407,0.663763260316056
"339","gene-LOC111116216","12M","Exposed","M",0,NA
"340","gene-LOC111116216","13M","Control","M",0,NA
"341","gene-LOC111116216","16F","Control","F",1,NA
"342","gene-LOC111116216","19F","Control","F",0,NA
"343","gene-LOC111116216","22F","Exposed","F",2.272727,NA
"344","gene-LOC111116216","23M","Exposed","M",0,NA
"345","gene-LOC111116216","29F","Exposed","F",0,NA
"346","gene-LOC111116216","31M","Exposed","M",1.492537,NA
"347","gene-LOC111116216","35F","Exposed","F",0,NA
"348","gene-LOC111116216","36F","Exposed","F",0,NA
"349","gene-LOC111116216","39F","Control","F",0,NA
"350","gene-LOC111116216","3F","Exposed","F",0,NA
"351","gene-LOC111116216","41F","Exposed","F",0,NA
"352","gene-LOC111116216","44F","Control","F",1.123596,NA
"353","gene-LOC111116216","48M","Exposed","M",0,NA
"354","gene-LOC111116216","50F","Exposed","F",0,NA
"355","gene-LOC111116216","52F","Control","F",0,NA
"356","gene-LOC111116216","53F","Control","F",1.754386,NA
"357","gene-LOC111116216","54F","Control","F",0,NA
"358","gene-LOC111116216","59M","Exposed","M",0,NA
"359","gene-LOC111116216","64M","Control","M",0,NA
"360","gene-LOC111116216","6M","Control","M",0,NA
"361","gene-LOC111116216","76F","Control","F",0,NA
"362","gene-LOC111116216","77F","Exposed","F",0,NA
"363","gene-LOC111116216","7M","Control","M",0,NA
"364","gene-LOC111116216","9M","Exposed","M",0,NA
"365","gene-LOC111116217","12M","Exposed","M",0,0
"366","gene-LOC111116217","13M","Control","M",4.8098687,0.646854024877089
"367","gene-LOC111116217","16F","Control","F",0,0
"368","gene-LOC111116217","19F","Control","F",5.8010455,0.4729680230703
"369","gene-LOC111116217","22F","Exposed","F",0,0
"370","gene-LOC111116217","23M","Exposed","M",4.6423508,0.464049372290104
"371","gene-LOC111116217","29F","Exposed","F",10.2562365,1.2128965160384
"372","gene-LOC111116217","31M","Exposed","M",0,0
"373","gene-LOC111116217","35F","Exposed","F",19.1412655,3.63688552102427
"374","gene-LOC111116217","36F","Exposed","F",1.9802782,0.44872460884028
"375","gene-LOC111116217","39F","Control","F",9.2419944,2.32630342197807
"376","gene-LOC111116217","3F","Exposed","F",0,0
"377","gene-LOC111116217","41F","Exposed","F",6.2512446,1.1987709597645
"378","gene-LOC111116217","44F","Control","F",3.2772173,0.668432802625199
"379","gene-LOC111116217","48M","Exposed","M",4.206633,0.902374227276196
"380","gene-LOC111116217","50F","Exposed","F",4.0255473,0.738167767883999
"381","gene-LOC111116217","52F","Control","F",17.9353421,1.57473792349199
"382","gene-LOC111116217","53F","Control","F",0.7580063,0.350452163035288
"383","gene-LOC111116217","54F","Control","F",1.9583332,0.53359364827693
"384","gene-LOC111116217","59M","Exposed","M",0.6666667,0.6666667
"385","gene-LOC111116217","64M","Control","M",4.4634736,0.503848368843978
"386","gene-LOC111116217","6M","Control","M",5.072123,0.668808304935992
"387","gene-LOC111116217","76F","Control","F",6.1635044,0.616544090766611
"388","gene-LOC111116217","77F","Exposed","F",11.6002507,1.93768478038585
"389","gene-LOC111116217","7M","Control","M",2.9622586,0.775682009427907
"390","gene-LOC111116217","9M","Exposed","M",0.4224738,0.285827676241542
"391","gene-LOC111116223","12M","Exposed","M",0.7692308,0.7692308
"392","gene-LOC111116223","13M","Control","M",0.2816902,0.2816902
"393","gene-LOC111116223","16F","Control","F",0,0
"394","gene-LOC111116223","19F","Control","F",1.6977928,1.08844279877127
"395","gene-LOC111116223","22F","Exposed","F",1.2165898,0.74728297065987
