gene_name,females_controls_max_transcript_counts,females_exposed_max_transcript_counts,difference,avg_meth_control,avg_meth_exposed,change_meth,avg_exp_control,avg_exp_exposed,change_exp,start,end,meth.diff,DMLcount
LOC111135892,1,1,0,33.2973599496529,32.9073789184732,-0.389981031179687,6.739291875,6.429610875,-0.309681,NA,NA,NA,0
LOC111135893,1,1,0,0.35697140434202,0.346708367097307,-0.0102630372447126,2.258092625,1.211047375,-1.04704525,NA,NA,NA,0
LOC111135894,1,1,0,64.4278579931748,59.9526061385032,-4.47525185467157,6.232611625,7.100129875,0.86751825,NA,NA,NA,0
LOC111135895,1,1,0,51.2199470777027,48.4171982835022,-2.80274879420048,47.352900125,60.563709625,13.2108095,NA,NA,NA,0
LOC111135896,2,2,0,3.40057872862663,1.40271416612939,-1.99786456249724,4.41819648154945,4.98647807995241,0.568281598402965,NA,NA,NA,0
LOC111135897,1,1,0,14.94697934375,15.5667778641447,0.619798520394736,8.371588625,11.66395875,3.292370125,NA,NA,NA,0
LOC111135898,1,1,0,0.249551868421053,0.300444598684211,0.050892730263158,2.06582525,2.68695875,0.6211335,NA,NA,NA,0
LOC111135899,1,1,0,49.9213531814825,49.9458979808033,0.024544799320779,24.058800375,18.132020625,-5.92677975,NA,NA,NA,0
LOC111135900,1,1,0,52.107684688661,56.1111252708333,4.00344058217235,3.83385625,1.799902375,-2.033953875,NA,NA,NA,0
LOC111135901,5,4,-1,0.449913597665297,0.453407514099767,0.00349391643447033,1.70480304479279,1.9282762950298,0.223473250237001,NA,NA,NA,0
